,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,1.625,0.4566666666666667,0.53,0.3866666666666666,0.0,1.2,0.45,1.1625,1.0825,0.1766666666666666,0.0,0.185,0.3175,0.3975,2.1833333333333336,1.3333333333333333,0.265,0.08,0.45,0.0,2.675,0.7033333333333333,1.0933333333333335,0.6633333333333333,0.785
1,3.1450000000000005,4.430000000000001,2.1166666666666667,2.0066666666666664,0.785,3.1666666666666665,2.1425,4.2075,1.59,0.7766666666666667,1.0933333333333335,1.4025,2.1425,1.5075,5.04,3.4766666666666666,0.8200000000000001,1.5075,0.7925,1.6900000000000002,6.91,2.8433333333333337,1.5166666666666668,3.96,2.465
2,2.01,7.06,2.7300000000000004,3.066666666666667,1.05,3.4800000000000004,4.0825,5.63,1.7,2.7433333333333336,2.7466666666666666,3.7975,3.16,3.175,6.5,6.433333333333334,2.5575,3.1100000000000003,0.8699999999999999,2.936666666666667,5.6850000000000005,3.526666666666667,2.5900000000000003,6.3933333333333335,4.765000000000001
3,1.845,8.950000000000001,5.996666666666667,4.73,0.42,4.896666666666667,5.907500000000001,4.905,3.707500000000001,6.54,3.866666666666667,6.6725,4.465,3.145,8.430000000000001,11.54,6.630000000000001,5.16,3.58,5.739999999999999,2.855,3.5666666666666664,5.056666666666667,8.136666666666667,6.7250000000000005
4,3.785,8.459999999999999,8.773333333333333,5.1866666666666665,1.5750000000000002,7.0200000000000005,8.3075,4.5725,6.305,7.286666666666666,6.516666666666667,9.3875,8.8375,4.075,7.84,15.123333333333337,8.4825,5.1825,5.7275,7.776666666666667,2.37,5.476666666666667,8.213333333333333,7.780000000000001,5.78
5,5.345000000000001,9.94,11.636666666666663,4.876666666666666,2.855,4.946666666666666,10.11,6.9525,10.51,5.766666666666667,12.693333333333332,13.3425,11.6025,8.52,4.82,10.736666666666666,12.1675,8.9475,10.78,8.613333333333333,2.665,7.739999999999999,11.513333333333335,7.960000000000001,4.93
6,4.865,8.41,10.936666666666667,5.166666666666667,2.555,5.036666666666666,13.760000000000002,11.62,11.4725,7.543333333333334,12.813333333333334,16.6425,12.3825,12.88,5.743333333333333,6.79,16.885,11.169999999999998,12.7875,8.296666666666667,4.635,9.113333333333337,11.683333333333332,11.52,5.8500000000000005
7,4.755,9.723333333333334,13.46,6.956666666666667,3.06,7.853333333333334,11.6325,16.8925,10.7525,6.653333333333333,11.606666666666667,16.1775,13.492499999999998,14.7725,12.646666666666668,7.366666666666667,21.05,13.4975,11.43,7.69,7.439999999999999,10.22,13.18,14.506666666666668,6.275
8,4.065,12.866666666666667,16.093333333333334,9.326666666666666,3.08,10.163333333333334,9.96,19.8625,15.335,7.433333333333333,12.983333333333334,17.1525,18.655,15.19,12.98,11.17,20.48,17.057499999999997,13.3425,11.03,5.395,12.613333333333337,17.426666666666666,15.14,7.365
9,9.12,11.773333333333332,14.816666666666668,9.21,3.985,8.586666666666668,11.3975,20.5725,15.395,12.303333333333333,10.296666666666669,18.55,20.5825,16.11,10.976666666666668,14.233333333333334,17.18,18.325000000000003,13.27,10.44,5.43,14.35,15.933333333333332,12.336666666666668,10.445
10,10.29,13.226666666666668,13.293333333333337,13.57,6.91,8.24,15.3425,21.02,18.625,12.17,10.203333333333331,24.0925,24.6225,23.08,10.03,14.72,17.345,22.4375,17.355,12.763333333333334,6.48,17.373333333333335,15.383333333333336,8.793333333333333,6.334999999999999
