,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,9.5,5.733333333333334,2.4566666666666666,2.9633333333333334,0.0,5.1066666666666665,1.8275,6.65,7.0175,1.62,0.0,2.4125,2.9375,3.1825,9.08,6.966666666666666,2.0075,1.0825,2.7875,0.0,8.504999999999999,6.330000000000001,7.506666666666667,4.113333333333333,6.445
1,13.825,11.543333333333337,4.3,7.169999999999999,5.365,12.339999999999998,3.39,12.23,8.834999999999999,5.19,6.45,8.18,11.645,6.355,12.133333333333333,7.776666666666666,5.315,6.54,3.005,10.66,12.085,8.74,8.84,11.51,10.84
2,11.785,11.816666666666668,6.453333333333333,9.046666666666669,6.435,10.833333333333334,7.6675,11.4125,9.84,10.076666666666666,8.913333333333334,11.4525,12.4875,9.15,9.62,10.303333333333333,10.745,11.18,5.5075,12.006666666666666,11.805,8.936666666666667,10.796666666666669,11.506666666666666,10.68
3,6.565,9.35,10.243333333333334,12.18,4.859999999999999,8.806666666666667,10.31,9.065,8.215,10.866666666666667,6.903333333333333,11.7375,10.0425,9.23,9.146666666666668,9.036666666666669,11.3375,7.685,11.302499999999998,11.956666666666663,11.14,3.013333333333333,12.483333333333334,7.396666666666666,12.12
4,11.685,5.646666666666666,10.75,12.436666666666667,10.685,10.236666666666666,9.8025,7.827500000000001,8.85,9.76,12.116666666666667,11.1075,10.405,7.505000000000001,4.666666666666667,9.95,11.395,9.6975,11.0225,10.2,11.995,9.586666666666666,10.553333333333333,6.489999999999999,13.17
5,12.56,9.94,11.57,6.72,13.65,11.62,11.19,12.2125,11.7525,8.863333333333332,11.656666666666666,10.675,11.5775,12.5725,6.903333333333333,8.333333333333334,10.4275,10.54,11.2075,9.943333333333332,13.55,12.346666666666666,10.786666666666669,10.56,12.39
6,11.88,12.016666666666667,9.343333333333332,9.796666666666663,13.075,10.69,10.6275,11.5375,10.035,8.536666666666667,10.166666666666666,9.2725,10.33,11.080000000000002,11.563333333333333,10.03,9.1775,10.3325,10.4625,9.573333333333332,11.495,11.816666666666668,10.46,10.423333333333334,13.425
7,11.13,10.103333333333332,9.383333333333333,9.836666666666668,7.645,12.506666666666666,9.415,11.1375,9.265,10.09,9.946666666666667,9.0225,12.73,10.177499999999998,11.573333333333332,12.233333333333334,9.5625,10.355,9.7375,11.63,12.44,9.78,10.516666666666666,10.373333333333331,11.7
8,11.41,8.753333333333334,8.99,11.416666666666666,11.260000000000002,10.426666666666668,5.842499999999999,10.2825,9.825,8.030000000000001,9.133333333333333,9.18,10.595,7.5275,9.656666666666666,9.533333333333331,9.1075,10.8275,10.45,9.15,12.11,8.09,8.65,9.226666666666668,11.8
9,12.92,10.553333333333333,9.326666666666666,11.116666666666667,11.64,10.623333333333331,9.9675,8.5925,10.29,11.153333333333334,6.636666666666667,8.82,10.1475,7.952499999999999,9.59,11.116666666666667,7.2925,10.1275,10.3775,10.493333333333334,13.145,9.28,8.86,9.65,12.855
10,12.935,11.54,10.986666666666666,10.763333333333334,11.625,10.093333333333334,11.84,8.6675,9.4975,11.446666666666667,10.396666666666668,9.97,10.555,10.17,10.01,10.51,11.19,10.7675,11.7525,11.156666666666666,13.03,10.410000000000002,9.846666666666666,11.513333333333334,12.215
11,12.685,8.99,8.856666666666667,10.083333333333334,12.39,9.466666666666669,10.06,7.470000000000001,9.335,9.343333333333334,11.26,8.15,7.415000000000001,8.6575,9.186666666666667,8.523333333333333,9.9375,9.07,9.2275,8.670000000000002,12.535,10.803333333333333,9.603333333333332,10.16,11.79
12,13.365,8.42,10.1,9.153333333333334,11.19,11.443333333333332,10.1425,9.7025,9.0,7.373333333333334,9.836666666666666,8.355,9.0975,8.357500000000002,10.29,9.243333333333334,9.7675,8.9625,9.6775,7.553333333333334,13.07,10.31,10.593333333333334,9.64,12.06
13,11.4,7.390000000000001,7.646666666666666,7.583333333333333,12.57,10.066666666666666,9.004999999999999,9.4875,8.2125,6.496666666666666,10.283333333333331,7.877499999999999,8.5125,6.47,7.183333333333334,7.506666666666667,7.7925,7.449999999999999,7.3575,8.436666666666666,11.85,7.86,9.26,8.18,11.085
14,12.64,9.39,8.713333333333333,8.846666666666666,12.485,12.63,10.0275,10.2275,11.5625,10.54,10.463333333333331,9.9225,8.842500000000001,10.085,10.716666666666669,10.38,8.6825,8.895,10.6925,11.063333333333333,11.575,10.286666666666669,9.9,9.706666666666663,12.64
15,12.545,9.363333333333332,8.786666666666667,9.526666666666666,12.005,11.916666666666666,9.3175,10.4025,11.2,11.03,9.47,8.865,8.2125,9.642500000000002,9.993333333333334,10.06,10.1225,9.3925,9.3325,10.036666666666669,12.935,10.483333333333333,10.636666666666668,8.94,11.785
16,12.745,11.063333333333333,11.38,9.953333333333331,12.165,11.32,8.6675,10.2675,8.175,9.796666666666669,9.46,7.975,6.5625,6.9725,11.166666666666666,11.156666666666666,7.932499999999999,8.4275,7.895,9.62,12.335,11.95,10.796666666666669,9.85,12.665
17,9.4,9.72,9.876666666666669,7.47,12.505,9.093333333333334,7.38,9.7075,7.485,9.676666666666668,8.853333333333333,7.439999999999999,7.525,6.88,10.373333333333331,11.089999999999998,7.817500000000001,9.4625,7.875,8.913333333333332,12.91,8.09,9.773333333333332,9.073333333333332,11.635
18,11.865,9.643333333333333,9.913333333333332,9.160000000000002,12.63,8.726666666666667,8.010000000000002,9.8275,7.61,8.623333333333333,8.883333333333335,7.355,8.125,8.399999999999999,9.433333333333334,8.6,8.799999999999999,7.705,7.765000000000001,9.406666666666668,12.815,10.65,9.563333333333334,9.54,12.44
19,11.44,9.95,11.216666666666669,10.7,13.305,10.923333333333332,9.185,9.187500000000002,10.43,10.736666666666666,10.596666666666666,9.005,8.1775,9.3525,8.726666666666667,9.033333333333331,11.37,7.95,9.2125,11.173333333333332,14.505,11.74,9.7,10.3,12.455
20,11.925,10.083333333333334,8.763333333333334,10.466666666666669,12.59,10.76,8.2675,7.422499999999999,7.9775,8.676666666666668,7.85,7.734999999999999,6.705,7.842499999999999,6.766666666666666,7.486666666666667,10.255,7.520000000000001,7.705,9.82,12.565,9.756666666666666,8.479999999999999,9.476666666666668,12.415
21,13.085,10.006666666666668,9.533333333333331,10.663333333333334,13.02,12.003333333333336,8.4275,9.0075,8.46,9.146666666666668,8.873333333333333,6.0375,7.4425,6.9975,8.416666666666666,7.97,9.4825,8.9075,8.7125,10.01,13.34,9.1,9.873333333333331,10.403333333333334,13.145
22,11.925,8.336666666666666,8.843333333333332,8.403333333333334,12.22,10.37,6.3875,8.977500000000001,7.7225,9.013333333333334,8.58,5.8575,6.5625,5.8875,9.446666666666667,8.243333333333332,8.015,9.3025,8.47,8.856666666666666,11.9,8.353333333333333,8.803333333333333,9.13,11.31
23,11.96,7.946666666666668,9.2,9.256666666666666,12.920000000000002,11.626666666666663,7.975,9.4875,8.7675,10.833333333333334,9.623333333333331,8.6175,7.4125,9.025,10.74,10.090000000000002,9.7375,9.1575,9.8475,9.936666666666666,13.015,9.026666666666666,10.056666666666668,9.486666666666666,12.635000000000002
24,11.64,8.246666666666668,7.32,9.103333333333332,12.76,13.113333333333332,9.2475,8.132499999999999,9.235,10.416666666666666,9.63,8.8525,7.592499999999999,10.185,9.409999999999998,8.53,9.4,8.7775,9.4025,10.923333333333334,12.425,9.4,8.673333333333334,9.99,11.925
25,11.89,9.056666666666668,8.046666666666667,11.213333333333331,12.33,11.253333333333332,7.887500000000001,8.3525,8.08,11.193333333333332,8.943333333333333,6.215,6.245,8.255,8.9,10.72,8.795,7.772499999999999,8.8975,11.553333333333333,12.37,12.21,10.026666666666666,11.723333333333334,12.275
26,12.33,8.466666666666667,8.19,8.59,12.615,11.02,7.615,9.5925,7.347499999999999,10.736666666666666,7.709999999999998,5.7575,7.1725,8.2425,9.113333333333332,9.86,8.46,8.412500000000001,8.28,9.123333333333331,12.08,11.976666666666668,10.106666666666667,11.123333333333337,12.25
27,12.73,7.32,7.086666666666667,8.066666666666666,12.295,11.160000000000002,6.99,8.8425,9.0175,9.173333333333334,8.89,7.834999999999999,7.972499999999999,6.3325000000000005,9.353333333333332,8.61,6.952500000000001,7.609999999999999,7.0775,9.95,11.96,10.243333333333334,9.196666666666667,8.7,12.12
28,13.63,10.286666666666669,7.66,10.366666666666667,12.17,11.54,8.58,8.4675,9.697499999999998,9.48,11.053333333333336,9.35,8.625,8.4675,11.15,10.853333333333332,9.075,8.47,9.6325,10.736666666666666,13.32,11.196666666666664,10.09,11.523333333333332,12.245
