,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,5.365,2.223333333333333,2.13,1.26,0.0,3.1466666666666665,1.805,4.2975,2.4325,1.0566666666666666,0.0,0.72,1.0725,1.12,6.343333333333334,3.3166666666666664,0.75,0.55,0.8725,0.0,7.24,2.543333333333333,2.4600000000000004,3.53,2.755
1,1.315,6.013333333333333,1.7966666666666666,2.7133333333333334,1.6,3.44,2.575,5.805000000000001,0.8125,0.9566666666666668,3.1300000000000003,2.9075,3.6375,2.095,5.63,5.416666666666667,0.96,2.3825,1.0875,3.4166666666666665,6.425000000000001,3.856666666666667,1.46,5.093333333333333,3.63
2,3.19,9.78,9.85,4.96,0.565,6.133333333333333,8.922500000000001,12.6275,4.015,5.946666666666666,1.4,5.675000000000001,3.19,3.9875,20.326666666666668,15.103333333333332,5.6825,6.5875,1.31,4.083333333333333,5.685,2.0866666666666664,4.49,13.216666666666669,6.66
3,1.38,36.24,25.02,6.44,1.59,17.27,25.835,27.130000000000003,8.3475,13.506666666666668,9.233333333333334,11.0525,15.6,10.6775,37.75,40.56,13.1125,18.745,7.66,8.216666666666667,4.455,10.85,6.833333333333332,37.78666666666667,8.9
4,6.6,47.35666666666666,24.05666666666667,6.466666666666666,3.13,18.756666666666668,33.815,25.7775,16.4925,21.663333333333338,8.796666666666667,18.8,25.12,16.9525,39.553333333333335,47.81666666666666,15.6575,14.2825,10.945,18.17333333333333,2.455,22.21333333333333,21.593333333333334,37.27,4.71
5,5.4,30.75,15.836666666666666,18.15,1.115,8.716666666666667,18.965,7.055,25.04,24.41,16.81,33.19,20.0025,8.945,11.99,39.26333333333333,27.98,23.9775,23.245,18.83333333333333,2.72,6.896666666666666,26.64,26.34,6.949999999999999
6,5.47,11.976666666666668,26.11,25.63666666666667,3.875,10.523333333333332,36.015,19.6925,46.4975,32.593333333333334,30.433333333333334,64.115,34.315,27.27,9.643333333333333,25.473333333333333,47.17250000000001,31.9875,31.2175,22.290000000000003,5.9350000000000005,13.55,33.74333333333333,34.4,6.22
7,5.875,27.296666666666663,38.75,9.273333333333332,3.015,6.706666666666667,36.9275,31.3375,36.2175,19.973333333333333,34.76,49.685,14.489999999999998,33.805,23.406666666666663,12.2,68.89,36.375,33.1025,19.39333333333333,6.315,27.48333333333333,32.98,45.60999999999999,9.34
8,4.03,50.23666666666667,62.63,18.633333333333333,4.635,24.43,46.895,55.59,50.940000000000005,38.906666666666666,53.85,69.925,48.9675,64.3375,43.61333333333334,31.433333333333337,96.0525,47.35,51.62500000000001,41.330000000000005,3.99,54.73333333333333,65.18333333333334,72.60000000000001,8.209999999999999
9,7.245000000000001,27.41,43.73333333333333,14.766666666666666,3.82,19.40333333333333,30.8975,74.01750000000001,40.92,33.36333333333334,48.45333333333334,68.4925,52.56,70.0425,32.95333333333333,32.89333333333334,63.85000000000001,47.7275,34.5525,19.35,5.545,42.03333333333333,50.580000000000005,39.48333333333333,7.125
10,6.115,25.536666666666665,29.05,27.73,5.355,23.94,28.305,78.785,56.5675,19.72666666666667,29.01,71.0475,61.7875,78.34750000000001,30.69,48.96666666666666,36.465,46.5,26.615,23.776666666666667,5.44,39.336666666666666,47.91,13.563333333333333,8.69
