,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,51.155,91.25666666666667,21.383333333333336,17.723333333333333,0.0,43.71333333333333,16.165,40.33,38.365,32.42333333333333,0.0,12.25,70.3975,64.9075,52.65333333333333,30.44,14.7275,27.3225,10.5975,0.0,58.535,34.14,28.02333333333333,52.65666666666667,92.06
1,34.495000000000005,41.13,12.216666666666669,29.48333333333333,22.22,38.96,71.66,39.2575,30.145000000000003,62.71,32.64333333333334,35.905,40.9025,69.97999999999999,39.15333333333333,27.21666666666667,22.24,18.2525,9.835,45.66333333333333,39.52,24.22,23.600000000000005,42.06666666666666,44.86
2,39.025,40.03666666666667,32.98,57.78666666666666,18.525,46.32,36.4225,42.35,46.400000000000006,47.79333333333333,23.58,41.1325,37.395,28.96,53.65333333333333,47.66,44.975,43.475,21.9775,39.52,39.69,23.25,45.66666666666666,41.5,44.52
3,18.165,55.32333333333335,52.39666666666667,39.22666666666667,187.945,59.11333333333332,51.205,69.3975,33.95,45.01,31.57333333333333,40.5175,49.45,55.73,57.31,55.36333333333334,42.1125,207.43,43.2025,40.086666666666666,41.620000000000005,17.586666666666666,37.79666666666667,77.51,39.245000000000005
4,40.185,167.73,45.30666666666667,37.34666666666666,45.13,46.59333333333333,52.31,70.58,60.8425,47.17,39.15,42.585,46.1,71.69,45.74666666666667,49.21333333333334,41.8175,50.7575,42.8425,46.080000000000005,40.61,52.00999999999999,45.31,79.10666666666667,36.065
5,38.06,51.72333333333333,40.836666666666666,34.10333333333333,34.925,41.89333333333334,42.2825,38.94,41.6075,78.07,41.373333333333335,44.59,40.4225,37.6275,32.35,65.34333333333333,46.2075,46.6225,43.4925,61.303333333333335,35.3,38.63,45.71666666666667,53.74666666666667,38.145
6,39.515,39.27333333333333,53.10666666666666,88.96999999999998,36.35,45.63,45.71,40.6525,54.940000000000005,83.73333333333333,49.93333333333334,54.715,46.3275,43.225,40.77333333333333,51.64666666666667,54.2225,48.0825,45.92,65.23333333333333,41.02,39.95,49.77,50.95000000000001,35.765
7,42.22,48.41333333333333,51.50666666666666,56.16666666666666,135.95,37.89666666666667,53.9225,43.03,57.235,51.173333333333325,48.876666666666665,55.5975,36.3425,48.79,41.296666666666674,39.35666666666666,49.5575,49.6025,47.3425,42.52,38.325,52.32333333333333,45.49,49.19,40.370000000000005
8,41.75,58.830000000000005,56.48666666666667,42.196666666666665,41.775000000000006,47.66666666666666,55.1,49.555,53.8925,73.66333333333333,59.04,60.8425,45.6,99.485,54.3,52.41666666666666,85.60249999999999,44.885000000000005,49.825,57.13,38.08,64.89,61.00666666666667,63.123333333333335,39.795
9,36.7,43.48333333333333,47.71666666666667,41.37,40.98,43.946666666666665,46.0925,55.72,44.69,42.84333333333333,74.77000000000001,54.4825,47.3,59.49,53.56666666666666,42.693333333333335,77.03,45.7675,43.895,44.53,36.265,53.14666666666667,59.61666666666667,50.38666666666666,36.735
10,36.435,41.53,45.02,44.73,41.155,56.32333333333333,40.295,62.41,55.212500000000006,41.68333333333334,52.84,50.6875,50.8025,51.727500000000006,60.34333333333333,47.95666666666667,42.7125,44.3875,40.2,44.56,36.195,52.13666666666668,51.13,41.053333333333335,38.525
11,37.245000000000005,52.330000000000005,53.053333333333335,48.74333333333334,38.295,52.23333333333334,47.4175,63.85000000000001,52.325,50.65,42.05,57.84,65.475,54.735,51.64000000000001,58.24666666666667,46.66,51.4375,50.2075,59.63,37.59,44.02333333333333,50.09666666666666,47.51666666666667,40.305
12,35.195,64.74333333333333,48.16,55.77,41.455,43.88333333333333,50.0825,49.385000000000005,63.185,105.45333333333332,58.85,71.9,52.335,85.555,47.14666666666667,54.82333333333333,50.655,60.045,60.3,81.95,36.325,47.46666666666666,45.53666666666667,53.97333333333333,39.23
13,40.74,67.43333333333334,62.43666666666666,72.63,37.755,52.55,55.2,49.8375,64.275,102.93666666666668,48.98,78.2225,55.835,215.7,82.19666666666667,72.44333333333333,89.075,65.9525,81.795,60.94,40.235,60.26666666666667,51.06333333333333,61.336666666666666,41.84
14,37.72,53.28333333333333,57.93666666666667,53.43333333333334,37.9,37.38666666666666,49.18000000000001,48.715,41.1,45.04666666666666,47.946666666666665,51.3975,58.31,50.0375,45.35666666666666,47.93,55.4525,56.985,47.85,42.873333333333335,41.365,49.71666666666667,52.9,49.626666666666665,38.035
15,37.285,56.66666666666666,62.64333333333334,58.15,39.295,39.57333333333333,57.6025,46.9175,42.7375,44.28333333333333,59.30333333333332,60.83,59.7275,52.47500000000001,48.55,50.623333333333335,49.5425,59.7075,69.6575,54.82333333333333,36.585,49.22666666666667,47.23666666666666,53.96333333333333,39.585
16,36.765,43.1,42.61666666666667,49.06333333333333,38.94,41.97666666666667,54.83749999999999,47.4125,66.14,48.38,53.50666666666666,60.49,73.685,72.60249999999999,42.43666666666667,43.876666666666665,61.295,65.56750000000001,65.1825,55.94,38.205,39.56,44.88666666666666,48.99333333333334,37.66
17,50.59,50.75333333333334,51.05666666666667,80.88,37.685,58.080000000000005,105.35750000000002,51.11750000000001,104.26,50.25,57.35666666666666,74.995,68.7925,113.65,46.79,43.49666666666667,95.425,51.61,75.91250000000001,94.59666666666664,36.915000000000006,66.18666666666667,51.74,56.56,40.07
18,40.19,49.620000000000005,46.78,51.23666666666667,37.585,53.553333333333335,58.915,52.51,68.445,56.25,53.16333333333333,64.4925,60.03,55.505,51.34,55.59333333333333,56.3925,65.27000000000001,61.4975,53.220000000000006,36.7,44.24333333333333,49.70666666666667,54.156666666666666,38.435
19,40.915,51.70666666666667,42.81,46.93,35.85,46.01666666666666,56.5625,67.45,53.5775,45.71,45.69,59.8025,62.947500000000005,58.2875,59.806666666666665,57.66333333333333,43.07,70.97,54.895,45.10999999999999,32.905,41.63666666666666,49.88,51.96333333333333,38.115
20,39.375,48.51,57.31,45.53666666666667,37.475,44.85666666666666,57.682500000000005,65.00750000000001,62.89,57.883333333333326,60.48666666666666,65.30749999999999,70.9325,60.6475,77.18333333333334,68.85666666666667,45.135000000000005,64.5575,62.5525,48.74666666666667,37.52,49.30666666666667,57.333333333333336,59.72666666666667,37.81
21,36.335,48.25666666666666,64.22666666666667,46.25666666666667,36.3,41.54333333333333,72.05250000000001,52.8525,64.89250000000001,51.85666666666666,59.85666666666666,102.6275,70.0475,77.9175,57.68666666666667,68.17666666666666,56.900000000000006,54.74,54.5675,48.43333333333334,35.585,55.13,50.02,50.97666666666667,36.41
22,39.46,56.84666666666666,63.57999999999999,67.03666666666668,38.545,49.36333333333332,96.1375,53.4975,70.3625,53.21666666666666,59.72333333333333,130.70499999999998,76.5625,123.8625,52.16,63.17000000000001,74.0425,55.0025,68.505,53.31333333333333,39.815,58.25,57.29,57.32,42.285
23,39.84,66.14,54.39666666666667,57.24666666666667,36.925,39.083333333333336,65.425,54.0,56.22500000000001,45.403333333333336,50.903333333333336,70.09500000000001,77.5875,52.02,44.49333333333334,49.16,60.6,55.535,52.16,47.93333333333334,36.545,67.91000000000001,48.18000000000001,52.48666666666667,37.735
24,40.465,62.40333333333333,77.24333333333334,71.26,36.925,35.82,63.155,63.495,55.8875,46.10999999999999,51.50333333333333,60.03,72.36,47.9625,54.54999999999999,58.96,87.30499999999999,57.1975,58.89750000000001,45.31333333333333,37.915,62.586666666666666,65.37333333333333,53.656666666666666,39.495
25,39.5,53.32333333333333,60.38666666666666,42.35,38.265,43.28333333333333,61.2,66.535,59.06249999999999,43.17666666666667,58.00333333333333,76.195,77.60249999999999,63.23,56.82666666666666,46.79,55.29249999999999,68.09,54.9225,41.71666666666666,38.445,38.470000000000006,48.19333333333333,40.89,38.605
26,38.325,59.03333333333333,62.75666666666666,60.853333333333325,37.715,44.64666666666667,74.69,54.2175,79.17,45.51333333333334,76.86333333333333,194.92,66.24000000000001,68.1825,55.080000000000005,50.26666666666666,79.21000000000001,60.11,72.0625,55.34,38.98,39.73333333333333,48.196666666666665,43.31,38.225
27,37.2,64.33666666666666,73.62666666666668,57.04,38.545,43.35,78.4075,55.075,53.4125,52.49,55.626666666666665,86.8125,66.2475,83.935,50.903333333333336,55.35333333333333,68.16,65.4225,66.935,47.52,39.21,47.47333333333333,50.46,53.92,39.095
28,34.730000000000004,47.873333333333335,75.24999999999999,51.06333333333333,38.975,41.870000000000005,67.5375,79.455,58.3025,55.14333333333334,44.27666666666667,68.8075,63.745,65.81,45.03333333333334,43.296666666666674,60.0275,60.2025,51.5175,46.126666666666665,35.545,42.923333333333325,55.86333333333334,41.54333333333333,38.92
29,38.945,45.98333333333333,88.83,50.086666666666666,39.715,52.88,56.3725,81.8625,52.0025,60.866666666666674,46.25,59.135,60.42,56.96,47.19666666666666,54.31,57.065,77.71000000000001,57.2325,45.53333333333333,39.295,44.120000000000005,49.50666666666666,48.42666666666667,41.155
