Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,19.51,0.0,0.0,6.0,19.5,18.0,6.0,6.01,0.0,0.0,6.0,0.0,27.0,13.5,6.0,12.0,0.0,0.0,0.0,0.0,0.0,12.04,0.0
80.0,0.0,31.5,19.5,0.0,0.0,12.0,34.5,45.0,6.0,12.030000000000001,6.0,13.51,19.5,19.53,33.0,40.5,6.0,19.5,6.0,6.0,0.0,19.5,6.0,39.0,0.0
100.0,0.0,22.6,6.01,6.0,0.0,6.0,6.0,0.0,13.5,13.51,0.0,6.0,7.59,0.0,0.0,22.61,0.0,12.0,6.0,12.01,0.0,0.0,6.0,13.5,0.0
120.0,0.0,0.0,6.0,18.0,0.0,6.0,12.0,0.0,25.5,28.51,21.01,52.51,19.5,6.0,0.0,21.0,37.5,33.0,18.0,12.0,0.0,0.0,18.0,21.0,0.0
140.0,0.0,6.0,13.5,0.0,0.0,0.0,18.0,6.0,25.59,6.0,12.0,13.62,0.0,0.0,6.0,0.0,13.629999999999999,0.0,6.03,0.0,0.0,6.0,12.0,6.0,0.0
160.0,0.0,25.5,34.510000000000005,6.0,0.0,0.0,37.5,39.03,31.5,21.0,25.5,39.0,6.01,60.01,12.0,6.0,91.51,40.5,46.52,12.0,0.0,40.510000000000005,39.04,48.01,0.0
180.0,0.0,48.0,78.00999999999999,0.0,0.0,13.51,61.510000000000005,76.5,60.019999999999996,42.0,99.07,120.03,69.01,75.01,48.0,0.0,157.53,48.0,84.07000000000001,27.0,0.0,49.51,100.59,70.53,0.0
200.0,0.0,6.0,6.0,12.01,0.0,21.02,13.5,90.1,31.5,0.0,21.0,39.0,40.5,67.50999999999999,21.0,27.0,24.0,18.0,6.0,6.0,0.0,19.5,41.07,0.0,0.0
220.0,0.0,19.5,25.5,12.0,0.0,21.0,34.5,88.5,81.02000000000001,21.03,21.0,90.00999999999999,81.0,111.02,28.5,48.0,30.0,45.0,25.5,25.5,0.0,33.0,40.52,13.5,0.0
240.0,0.0,45.0,27.0,55.519999999999996,0.0,12.0,31.5,30.0,78.14,39.02,6.0,91.64,88.68,67.5,18.0,25.5,40.63,96.02000000000001,52.5,24.0,0.0,12.0,6.0,21.0,0.0
260.0,0.0,75.00999999999999,39.0,82.50999999999999,0.0,12.0,60.02,66.0,111.00999999999999,69.00999999999999,19.5,103.5,96.1,111.00999999999999,40.55,39.0,69.00999999999999,133.51,103.56,69.00999999999999,0.0,52.5,34.5,48.0,0.0
280.0,0.0,21.0,42.129999999999995,116.13,0.0,0.0,70.65,42.11,6.0,13.5,6.0,51.010000000000005,97.61000000000001,105.14,6.0,21.0,31.55,54.120000000000005,27.0,0.0,0.0,19.5,18.6,21.01,0.0
300.0,0.0,28.52,33.58,21.0,0.0,0.0,91.61,54.0,18.0,21.0,55.5,103.57,141.1,111.00999999999999,18.009999999999998,28.5,60.0,75.0,85.57,25.5,0.0,27.0,47.1,28.5,0.0
320.0,0.0,6.0,6.0,12.02,0.0,0.0,109.75999999999999,24.03,31.519999999999996,0.0,6.0,33.17,60.050000000000004,103.67000000000002,0.0,0.0,6.0,31.6,112.53000000000002,0.0,0.0,0.0,6.0,77.11,0.0
340.0,0.0,19.5,34.5,30.0,0.0,18.0,99.03,58.5,186.10999999999999,27.0,46.5,88.59,187.71999999999997,141.09,6.0,6.0,73.5,103.6,141.01,25.5,0.0,25.51,25.5,62.12,0.0
360.0,0.0,40.519999999999996,55.51,61.5,0.0,78.04,163.59,90.0,171.01,103.59,63.01,156.13,150.03,192.04999999999998,57.02,57.01,111.0,90.00999999999999,201.03999999999996,27.0,0.0,28.51,34.5,107.12,0.0
380.0,0.0,42.01,27.580000000000002,28.55,0.0,27.01,81.12,91.52,115.61,36.01,41.14,156.05,126.10999999999999,111.01,63.1,117.17,12.0,127.61,69.00999999999999,12.0,0.0,6.0,18.62,6.0,0.0
400.0,0.0,48.01,21.0,48.06,0.0,34.5,126.01,126.06,115.53,51.05,27.0,216.02999999999997,163.53000000000003,156.07,93.01,63.04,46.5,133.51999999999998,135.12,25.51,0.0,19.5,40.5,35.11,0.0
420.0,0.0,6.0,34.5,18.0,0.0,6.0,75.10000000000001,81.09,67.5,24.0,67.53,135.22,163.69,156.24,45.0,61.5,46.5,133.64,48.09,31.6,0.0,52.510000000000005,33.0,49.51,0.0
