,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,1.94,1.5833333333333333,0.97,0.8266666666666667,0.235,1.8133333333333332,0.8725,1.875,1.1625,0.3166666666666666,0.3,0.475,0.8200000000000001,0.7,2.893333333333333,1.86,0.385,0.5025,0.555,0.5466666666666666,3.79,1.21,1.2,1.5066666666666666,1.18
1,2.22,7.56,3.69,3.763333333333333,0.85,3.9933333333333336,4.655,5.365,2.7775,3.973333333333333,3.043333333333333,4.7275,3.585,2.5775,7.446666666666666,8.186666666666667,3.82,3.685,1.7325,3.956666666666667,5.0600000000000005,4.293333333333333,2.7833333333333337,7.096666666666667,5.61
2,4.89,8.813333333333333,10.576666666666666,5.373333333333334,2.21,5.626666666666666,10.3475,5.52,8.5325,6.786666666666666,10.293333333333331,11.4125,10.0575,6.3225,6.55,13.333333333333334,10.835,7.289999999999999,8.395,8.223333333333334,2.79,7.080000000000001,10.306666666666668,7.409999999999999,6.275
3,4.63,10.303333333333333,11.456666666666669,6.37,2.8000000000000003,7.683333333333333,11.2075,14.645,10.9075,6.62,12.066666666666668,16.835,13.215,14.305,8.99,6.956666666666667,19.0725,12.5575,11.685,8.603333333333333,5.825,9.376666666666669,12.25,13.683333333333332,4.890000000000001
4,6.565,11.613333333333337,14.329999999999998,8.51,2.78,9.73,8.88,19.9975,15.075,7.266666666666666,9.833333333333334,18.009999999999998,19.825,14.0725,11.813333333333333,10.976666666666668,17.7125,16.96,12.34,9.503333333333332,5.265,12.43,15.546666666666669,14.566666666666668,8.65
5,8.65,14.436666666666667,13.0,13.589999999999998,7.245000000000001,7.739999999999999,16.552500000000002,19.02,19.0025,11.586666666666668,9.923333333333334,22.2675,27.5475,22.512500000000003,10.163333333333334,15.016666666666666,18.35,21.66,17.1125,13.126666666666663,6.960000000000001,16.819999999999997,15.153333333333334,10.056666666666668,7.390000000000001
6,5.875,18.313333333333333,21.31,22.67,8.335,10.183333333333334,19.07,17.675,17.505,13.913333333333332,15.69,20.3375,30.8125,22.5125,16.703333333333333,13.8,16.9375,26.4075,20.5975,16.203333333333333,8.905000000000001,17.103333333333335,19.996666666666663,16.733333333333334,11.645
7,7.83,12.089999999999998,14.35,18.71,9.56,7.13,25.1825,23.25,28.395,14.579999999999998,19.066666666666663,25.082500000000003,30.6875,32.599999999999994,14.723333333333334,11.173333333333332,17.2225,27.5275,29.8825,16.703333333333333,7.52,10.183333333333334,18.096666666666664,20.45,5.635
8,4.33,16.846666666666668,16.61,15.36,10.605,18.62,25.055,27.1625,32.965,22.023333333333337,17.73,28.950000000000003,28.89,31.2325,21.576666666666668,17.71666666666667,19.495,28.23,30.815,12.486666666666666,9.415,11.963333333333331,19.85333333333333,22.813333333333333,6.03
9,10.97,15.616666666666667,17.093333333333334,18.540000000000003,10.95,16.28,24.32,30.754999999999995,27.9125,19.09,18.773333333333333,34.755,31.68,29.5375,26.796666666666667,21.616666666666664,18.5075,30.2275,28.85,14.696666666666667,7.285,12.93,17.5,19.01333333333333,7.765
10,15.38,16.66,15.416666666666666,26.45,12.915,12.44,30.5975,30.565,25.815,16.466666666666665,19.936666666666667,32.91,35.177499999999995,33.1675,25.763333333333332,18.326666666666664,27.2725,28.14,27.0725,18.406666666666663,9.82,17.643333333333334,18.66,19.216666666666665,11.92
11,11.415,21.876666666666665,19.166666666666668,28.02,11.45,13.85,31.292500000000004,31.565,24.552499999999995,15.566666666666668,20.26333333333333,26.85,35.1825,28.1925,29.05,18.003333333333334,23.97,31.7775,27.5425,23.243333333333336,10.545,21.786666666666665,20.53333333333333,18.256666666666664,17.564999999999998
12,12.035,25.23333333333333,23.596666666666668,19.73,9.555,9.713333333333331,35.11,26.815,32.76,18.316666666666663,18.003333333333334,32.3325,33.8925,34.875,23.773333333333337,16.349999999999998,27.7225,29.8175,36.245000000000005,21.486666666666668,14.43,17.186666666666667,22.096666666666664,13.58,19.69
13,9.345,21.686666666666667,35.64333333333334,19.176666666666662,10.17,13.089999999999998,29.6125,29.285,28.3975,26.293333333333333,18.496666666666663,23.9675,32.114999999999995,36.370000000000005,24.473333333333333,20.76,31.49,33.7275,28.91,24.23,14.0,20.31,22.93,13.313333333333333,11.655
