,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,60.0,20.0,60.0,20.0,0.0,60.0,45.0,60.0,30.0,20.0,0.0,15.0,45.0,15.0,120.0,40.0,15.0,30.0,0.0,20.0,120.0,60.0,20.0,60.0,30.0
2,60.0,80.0,80.0,60.0,0.0,40.0,60.0,0.0,45.0,80.0,40.0,60.0,15.0,0.0,60.0,120.0,90.0,30.0,45.0,80.0,60.0,40.0,60.0,80.0,120.0
3,60.0,200.0,200.0,40.0,60.0,40.0,240.0,150.0,195.0,40.0,240.0,195.0,135.0,165.0,60.0,40.0,150.0,150.0,180.0,160.0,30.0,140.0,180.0,140.0,90.0
4,60.0,200.0,220.0,160.0,60.0,200.0,105.0,255.0,150.0,40.0,200.0,270.0,285.0,180.0,200.0,100.0,330.0,210.0,180.0,120.0,150.0,180.0,200.0,200.0,30.0
5,270.0,200.0,200.0,120.0,90.0,80.0,210.0,225.0,165.0,140.0,120.0,225.0,285.0,135.0,180.0,220.0,135.0,240.0,195.0,140.0,120.0,260.0,180.0,140.0,180.0
6,60.0,160.0,100.0,120.0,150.0,140.0,225.0,90.0,105.0,140.0,60.0,165.0,240.0,195.0,120.0,120.0,225.0,195.0,165.0,100.0,150.0,200.0,120.0,100.0,150.0
7,90.0,80.0,100.0,220.0,30.0,80.0,90.0,135.0,135.0,120.0,120.0,150.0,225.0,180.0,80.0,120.0,30.0,105.0,195.0,160.0,90.0,80.0,180.0,240.0,60.0
8,90.0,100.0,40.0,60.0,90.0,80.0,285.0,315.0,375.0,200.0,100.0,210.0,210.0,360.0,40.0,60.0,180.0,270.0,390.0,120.0,150.0,160.0,180.0,180.0,60.0
9,60.0,160.0,180.0,100.0,90.0,260.0,195.0,285.0,225.0,140.0,160.0,315.0,345.0,285.0,400.0,260.0,105.0,285.0,195.0,100.0,120.0,100.0,180.0,120.0,0.0
10,30.0,80.0,220.0,300.0,90.0,120.0,285.0,285.0,255.0,240.0,300.0,435.0,315.0,405.0,140.0,260.0,330.0,240.0,270.0,200.0,30.0,160.0,100.0,200.0,150.0
11,330.0,220.0,240.0,300.0,240.0,180.0,315.0,360.0,255.0,240.0,280.0,210.0,405.0,270.0,360.0,160.0,360.0,315.0,300.0,240.0,90.0,280.0,240.0,320.0,210.0
12,270.0,300.0,300.0,240.0,390.0,280.0,360.0,330.0,375.0,280.0,280.0,345.0,360.0,390.0,400.0,140.0,315.0,375.0,360.0,340.0,330.0,280.0,280.0,240.0,480.0
13,240.0,340.0,360.0,260.0,210.0,160.0,375.0,135.0,285.0,380.0,240.0,135.0,225.0,390.0,340.0,440.0,330.0,330.0,285.0,280.0,240.0,360.0,380.0,280.0,360.0
14,180.0,160.0,220.0,160.0,270.0,220.0,120.0,270.0,135.0,240.0,240.0,225.0,300.0,330.0,320.0,180.0,210.0,330.0,255.0,280.0,270.0,260.0,220.0,240.0,240.0
15,210.0,180.0,160.0,180.0,150.0,120.0,210.0,300.0,255.0,240.0,220.0,330.0,210.0,450.0,160.0,320.0,165.0,135.0,270.0,240.0,90.0,180.0,240.0,240.0,180.0
16,30.0,140.0,260.0,240.0,60.0,140.0,90.0,210.0,255.0,160.0,180.0,165.0,315.0,75.0,120.0,120.0,255.0,195.0,150.0,140.0,150.0,120.0,120.0,260.0,120.0
17,150.0,140.0,180.0,160.0,120.0,60.0,285.0,330.0,435.0,160.0,120.0,300.0,180.0,375.0,180.0,200.0,315.0,165.0,270.0,120.0,150.0,100.0,160.0,360.0,120.0
18,150.0,240.0,220.0,140.0,90.0,160.0,270.0,255.0,225.0,240.0,380.0,210.0,255.0,210.0,200.0,200.0,90.0,345.0,195.0,220.0,120.0,280.0,200.0,140.0,210.0
19,60.0,260.0,260.0,180.0,120.0,180.0,300.0,480.0,330.0,220.0,120.0,360.0,330.0,345.0,220.0,160.0,465.0,360.0,285.0,80.0,180.0,220.0,260.0,100.0,60.0
20,270.0,300.0,380.0,240.0,330.0,260.0,195.0,300.0,120.0,200.0,200.0,180.0,405.0,390.0,440.0,280.0,195.0,375.0,240.0,280.0,360.0,240.0,320.0,200.0,60.0
21,540.0,320.0,300.0,340.0,240.0,320.0,255.0,300.0,315.0,260.0,320.0,405.0,420.0,330.0,360.0,260.0,480.0,360.0,330.0,300.0,390.0,340.0,300.0,240.0,390.0
22,240.0,280.0,300.0,140.0,210.0,340.0,360.0,255.0,165.0,400.0,260.0,270.0,270.0,375.0,280.0,360.0,165.0,315.0,270.0,280.0,180.0,220.0,280.0,400.0,150.0
23,360.0,300.0,280.0,240.0,360.0,280.0,195.0,390.0,180.0,140.0,340.0,165.0,315.0,240.0,380.0,200.0,210.0,315.0,165.0,420.0,330.0,300.0,200.0,220.0,300.0
24,150.0,240.0,120.0,200.0,120.0,240.0,300.0,165.0,255.0,240.0,120.0,240.0,180.0,255.0,160.0,220.0,240.0,180.0,495.0,180.0,150.0,280.0,120.0,180.0,150.0
25,60.0,200.0,340.0,240.0,120.0,140.0,210.0,180.0,150.0,60.0,300.0,135.0,195.0,180.0,300.0,160.0,105.0,240.0,120.0,260.0,90.0,120.0,160.0,240.0,0.0
26,0.0,100.0,160.0,160.0,120.0,220.0,240.0,315.0,225.0,220.0,120.0,285.0,225.0,255.0,140.0,200.0,315.0,210.0,210.0,100.0,90.0,60.0,80.0,120.0,150.0
27,90.0,100.0,280.0,120.0,180.0,120.0,195.0,420.0,165.0,260.0,260.0,285.0,420.0,105.0,200.0,140.0,195.0,195.0,285.0,220.0,60.0,240.0,220.0,180.0,120.0
28,150.0,120.0,120.0,320.0,120.0,160.0,465.0,270.0,390.0,240.0,260.0,225.0,375.0,450.0,360.0,100.0,540.0,345.0,270.0,160.0,90.0,260.0,280.0,180.0,0.0
29,240.0,240.0,300.0,80.0,210.0,260.0,270.0,345.0,300.0,180.0,200.0,330.0,300.0,240.0,380.0,260.0,255.0,465.0,270.0,160.0,150.0,140.0,400.0,320.0,120.0
30,240.0,260.0,260.0,260.0,360.0,400.0,315.0,360.0,375.0,380.0,340.0,420.0,435.0,450.0,420.0,320.0,420.0,315.0,270.0,360.0,270.0,180.0,280.0,220.0,270.0
31,150.0,160.0,180.0,380.0,180.0,200.0,390.0,180.0,300.0,320.0,320.0,465.0,225.0,270.0,300.0,200.0,240.0,330.0,210.0,320.0,300.0,280.0,300.0,420.0,300.0
32,180.0,200.0,200.0,180.0,240.0,340.0,165.0,240.0,195.0,200.0,280.0,165.0,255.0,270.0,320.0,220.0,135.0,345.0,210.0,200.0,330.0,280.0,300.0,220.0,300.0
33,90.0,300.0,220.0,140.0,150.0,160.0,315.0,270.0,225.0,180.0,180.0,315.0,210.0,345.0,100.0,220.0,165.0,180.0,315.0,180.0,30.0,380.0,220.0,280.0,120.0
34,30.0,180.0,100.0,160.0,90.0,180.0,150.0,255.0,180.0,240.0,160.0,180.0,375.0,165.0,340.0,80.0,255.0,195.0,180.0,300.0,90.0,280.0,240.0,100.0,150.0
35,90.0,100.0,220.0,120.0,210.0,140.0,300.0,360.0,360.0,300.0,60.0,330.0,270.0,435.0,220.0,80.0,345.0,270.0,555.0,200.0,120.0,200.0,120.0,200.0,30.0
