,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,12.02,10.15,3.693333333333333,6.57,4.375,10.79,2.5725,10.5625,8.0175,3.4600000000000004,4.18,6.4825,10.595,5.35,11.159999999999998,7.283333333333334,4.395,5.5725,2.9075,9.013333333333334,10.8,7.739999999999999,8.41,9.736666666666666,9.865
1,12.605,10.913333333333332,10.416666666666666,11.396666666666668,6.14,10.35,9.6325,10.995,8.56,10.893333333333333,7.710000000000001,11.7475,11.572500000000002,10.3525,9.476666666666668,10.246666666666666,11.425,10.4375,11.355,12.08,11.775,8.006666666666666,11.753333333333332,10.356666666666667,11.42
2,12.38,8.683333333333334,11.27,12.033333333333331,12.495,10.19,10.63,9.9775,11.1525,9.826666666666666,11.54,11.225,11.0675,10.9725,5.953333333333333,9.353333333333332,10.6525,10.37,11.3175,10.62,13.095,10.843333333333334,11.56,5.579999999999999,12.805
3,11.465,10.553333333333333,9.393333333333333,9.87,13.705,12.053333333333333,10.4175,11.4775,9.8375,9.666666666666666,10.176666666666668,9.395,11.1075,10.785,11.713333333333331,11.213333333333331,9.8025,9.6675,9.875,10.09,11.935,11.053333333333333,9.883333333333333,10.313333333333333,11.205
4,12.525,8.813333333333333,9.63,11.38,11.635,9.77,10.055,9.2325,10.13,9.963333333333331,8.799999999999999,8.6025,10.59,7.6775,9.253333333333334,9.98,8.075,10.2775,10.3925,8.469999999999999,12.8,8.716666666666667,8.71,8.156666666666666,12.575
5,12.7,10.466666666666669,10.363333333333332,9.556666666666668,11.83,9.11,11.095,8.5375,8.1775,11.396666666666668,10.953333333333331,9.125,9.035,10.18,9.493333333333334,10.356666666666667,9.885,9.9075,10.7025,10.566666666666668,12.795,10.313333333333334,9.43,9.686666666666667,12.09
6,12.715,7.963333333333334,8.709999999999999,8.4,11.955,11.076666666666668,9.760000000000002,10.1475,8.864999999999998,7.073333333333333,9.65,8.8125,8.5975,8.2025,9.676666666666668,8.076666666666666,8.497499999999999,8.5825,8.8575,7.836666666666667,12.435,9.396666666666668,10.083333333333334,9.01,11.83
7,12.5,9.089999999999998,7.683333333333334,8.520000000000001,12.13,12.3,9.28,10.54,11.07,10.343333333333332,9.536666666666669,9.785,8.862499999999999,9.9175,10.55,8.623333333333333,10.2,8.975,9.82,10.156666666666668,12.18,10.643333333333333,10.033333333333331,9.116666666666667,11.815
8,11.3,10.853333333333332,10.81,9.446666666666667,12.62,10.48,8.2,9.4025,7.375,9.636666666666668,8.853333333333333,7.85,8.094999999999999,6.8825,10.89,11.073333333333332,8.165,8.762500000000001,7.42,9.893333333333333,12.7,10.613333333333332,10.366666666666667,8.16,12.215
9,11.66,9.393333333333333,9.963333333333331,9.503333333333332,13.01,8.326666666666666,8.3925,9.1175,7.952500000000001,9.426666666666668,9.933333333333332,8.5325,8.3575,7.907500000000001,9.063333333333333,9.233333333333333,9.7125,8.415,7.5525,10.37,13.325,11.656666666666666,9.993333333333334,10.333333333333334,11.875
10,12.525,10.066666666666668,8.723333333333334,9.366666666666664,12.62,10.24,8.7625,8.005,7.63,8.753333333333332,8.953333333333333,7.035,7.575,7.8,7.37,7.95,9.8675,8.4525,8.09,9.433333333333334,13.25,9.983333333333334,9.573333333333332,9.63,12.545
