,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,6.359999999999999,7.363333333333333,3.6666666666666665,3.4066666666666667,1.61,6.326666666666667,3.5325,8.8625,3.0050000000000003,1.3133333333333332,2.85,2.9725,3.625,2.585,9.993333333333334,7.73,1.5750000000000002,2.67,1.805,3.1833333333333336,12.99,5.876666666666668,3.31,7.580000000000001,4.48
1,5.035,34.453333333333326,27.296666666666667,10.906666666666666,1.605,18.136666666666667,26.770000000000003,30.015,19.6,15.746666666666668,8.606666666666667,14.16,14.6375,9.76,53.54333333333333,44.21666666666667,15.2025,18.89,7.295,10.0,9.625,20.24,8.543333333333335,38.876666666666665,15.98
2,11.785,60.44666666666668,38.32,20.866666666666667,4.655,25.96333333333333,52.602500000000006,32.75,38.4775,40.72666666666667,33.38666666666667,44.4725,39.24,24.867500000000003,48.16333333333333,83.80666666666667,45.3925,33.925,30.1825,31.80333333333333,5.575,32.03333333333334,37.00333333333333,57.88666666666668,14.16
3,10.6,49.64333333333334,57.153333333333336,34.77333333333333,6.07,18.75333333333333,58.8125,45.252500000000005,73.205,42.370000000000005,57.84333333333333,108.015,55.375,60.06,29.936666666666667,35.053333333333335,106.0575,72.4975,60.965,48.39666666666667,12.17,34.873333333333335,66.32,80.11666666666666,13.605
4,10.755,83.56333333333333,88.58666666666666,29.50666666666667,6.305,55.41,52.235,136.195,83.77,50.27333333333333,69.17333333333333,136.27,99.485,121.4875,79.12,59.25,158.3275,92.9475,77.45750000000001,71.26333333333334,8.23,87.09666666666668,109.45333333333332,132.05333333333334,14.3
5,15.8,71.25666666666667,59.48333333333333,75.94,12.385,47.86333333333334,68.2825,147.87,148.61,45.84,47.93666666666667,151.54250000000002,179.4075,134.19,63.546666666666674,93.27666666666669,102.2825,117.6125,74.92,54.79,11.99,77.94333333333333,94.74,65.15333333333334,22.905
6,10.785,160.07,151.96666666666667,192.65,17.345,46.49666666666667,125.71,99.96,165.8925,145.67666666666665,65.24,159.48250000000002,222.0575,173.29500000000002,98.79666666666668,113.01666666666668,142.105,216.4025,160.1225,154.20333333333335,14.05,128.83666666666667,107.32333333333334,126.82,21.345
7,11.52,91.37333333333332,141.57333333333332,143.08333333333334,17.44,14.77,187.16,124.3875,109.165,71.94666666666666,151.77666666666664,155.88,214.765,195.45,78.21666666666665,103.25666666666666,104.915,186.5175,188.3875,82.17666666666666,13.6,47.07666666666666,115.11,137.11333333333334,10.675
8,11.34,71.74,80.31,97.57999999999998,17.515,85.49333333333334,186.1825,166.7875,319.2525,130.1,126.74333333333334,231.6775,223.555,294.0425,87.35666666666667,67.39,157.7525,201.135,312.2275,69.7,16.565,50.81333333333333,86.80333333333334,181.50666666666663,10.22
9,18.62,104.88666666666666,90.94333333333334,105.88666666666666,21.56,124.50333333333332,178.0,216.9875,254.40500000000003,118.73666666666666,93.99666666666668,278.77,242.4225,243.40750000000003,177.40333333333334,156.70666666666668,104.16,240.95000000000005,251.7675,56.00666666666667,9.825,38.95,81.25666666666667,123.50666666666666,15.1
