,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,39.74,46.82,14.216666666666669,32.163333333333334,27.235,44.17,11.4925,45.8025,33.295,15.18,53.13,47.375,44.84,22.2275,42.39666666666667,28.98333333333333,27.13,21.295,10.1675,57.57666666666666,44.345,27.276666666666667,24.92,49.84333333333333,48.965
1,36.975,43.723333333333336,47.10666666666666,41.63333333333333,18.87,47.676666666666655,54.00749999999999,44.3925,72.56,43.92333333333334,27.45,40.235,41.2175,50.14,54.35666666666666,47.03666666666666,41.4475,47.7325,42.0275,39.42333333333334,40.0,27.096666666666664,40.08666666666667,46.46666666666667,41.505
2,38.235,59.676666666666655,42.18,39.21333333333333,38.215,46.07666666666666,45.3025,51.2525,42.435,49.13666666666666,41.370000000000005,41.97,42.2375,42.99,35.85333333333333,50.35666666666666,44.2975,45.9275,41.635,46.63999999999999,36.385000000000005,43.64333333333334,41.31333333333334,1697.11,36.92
3,40.71,45.46333333333334,50.650000000000006,57.833333333333336,34.575,39.370000000000005,45.2225,41.2025,49.97749999999999,55.156666666666666,47.75333333333333,50.61749999999999,42.9875,43.9,40.42666666666667,42.70000000000001,48.335,48.55,47.5225,48.336666666666666,39.645,42.82,48.23666666666667,47.42,42.26
4,37.795,56.05333333333334,48.836666666666666,41.35666666666666,40.825,48.45666666666667,50.1175,51.77250000000001,48.205,48.71,54.84333333333333,56.355,43.932500000000005,68.8875,52.77666666666666,47.43000000000001,70.905,45.940000000000005,45.835,69.35333333333334,36.49,54.50666666666666,59.26333333333333,62.78333333333333,37.405
5,37.17,45.45666666666667,45.26666666666667,49.370000000000005,40.265,61.88333333333333,42.955,61.7775,60.3325,41.74333333333333,45.303333333333335,52.225,52.9475,47.94,53.79666666666666,47.53666666666666,47.0025,46.935,43.395,45.10666666666666,36.775,49.18333333333334,50.833333333333336,49.86666666666667,39.17
6,37.0,66.06333333333335,55.07333333333333,62.18000000000001,39.115,46.01666666666667,49.67999999999999,47.035,63.91,122.41333333333334,57.900000000000006,61.837500000000006,54.565,95.085,50.25666666666666,62.92666666666667,61.9625,58.182500000000005,67.66,67.46666666666667,38.09,52.13,47.91333333333333,58.330000000000005,39.82
7,37.86,54.34,86.71999999999998,61.48999999999999,38.89,38.36,54.895,46.3175,43.45,46.586666666666666,58.403333333333336,50.6,54.6225,51.9875,44.61666666666667,60.06999999999999,47.0125,56.6925,57.205,47.74,39.02,45.26666666666667,50.48666666666667,53.64333333333334,39.83
8,41.7,44.29,44.99333333333334,51.77666666666667,37.51,45.73,65.2975,50.4675,109.735,50.00666666666667,56.71,67.385,60.33,82.42750000000001,43.803333333333335,43.25,64.4375,57.1675,76.07000000000001,57.626666666666665,37.25,45.06333333333333,48.126666666666665,59.76666666666667,38.585
9,40.64,51.303333333333335,47.336666666666666,52.19333333333333,36.41,58.77,59.80499999999999,65.14,63.855,51.44,47.81666666666667,57.7075,58.1125,60.9925,52.196666666666665,53.12333333333333,48.865,65.2025,63.97,46.21,35.51,40.68666666666667,47.76333333333333,50.083333333333336,40.19
10,37.78,47.07333333333333,60.96666666666667,52.30666666666667,37.415,47.98333333333333,55.6625,60.70250000000001,61.0475,54.080000000000005,55.28333333333333,67.39,61.7425,60.3,66.48333333333333,61.883333333333326,47.61,55.870000000000005,59.2,50.59666666666666,35.77,48.04666666666666,50.25333333333333,52.05,37.845
11,39.705,57.40333333333333,55.31,65.87666666666668,37.76,43.703333333333326,75.2525,59.20250000000001,60.2125,44.84333333333333,49.46333333333333,68.2,72.595,78.255,52.79666666666666,56.07,64.39,52.6,55.125,51.25,39.08,54.27333333333334,49.26333333333334,60.68666666666667,37.97
12,40.16,51.95666666666667,51.376666666666665,61.38666666666666,37.275000000000006,41.85,60.4725,69.2125,52.1475,43.946666666666665,51.00333333333333,60.0425,74.4175,55.445,61.00999999999999,44.67333333333334,64.39,61.8025,61.75,45.836666666666666,38.885000000000005,49.333333333333336,54.07999999999999,47.82333333333333,38.535
13,38.015,63.16666666666666,60.88,61.88999999999999,38.41,43.03333333333334,68.955,56.495,74.8375,52.92,64.91000000000001,88.955,58.92,68.7725,56.676666666666655,53.15,65.5025,61.1525,80.5275,60.34333333333333,38.5,47.01333333333333,61.55,46.01,39.635000000000005
