,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,16.0,17.666666666666668,0.0,0.0,10.0,15.0,19.0,13.0,5.0,2.0,0.0,6.5,2.75,38.66666666666666,20.33333333333333,3.75,11.0,1.25,0.0,0.0,11.666666666666666,0.0,21.33333333333333,0.0
2,0.0,28.666666666666668,14.333333333333334,10.333333333333334,0.0,15.0,25.25,17.75,18.25,23.0,15.333333333333334,14.5,16.0,8.5,22.666666666666668,46.66666666666666,20.75,20.25,10.5,17.0,0.0,13.0,15.0,38.66666666666666,0.0
3,0.0,25.0,28.0,20.666666666666668,0.0,5.0,30.75,12.25,43.75,27.33333333333333,33.333333333333336,61.75,21.0,30.5,10.0,18.666666666666668,59.0,44.5,30.0,30.33333333333333,0.0,11.0,44.0,48.0,0.0
4,0.0,53.0,53.0,9.666666666666666,0.0,30.33333333333333,32.25,89.25,50.75,28.0,39.0,83.0,54.25,86.25,43.66666666666666,32.333333333333336,102.5,44.75,47.0,42.66666666666666,0.0,59.0,59.66666666666666,83.66666666666667,0.0
5,0.0,35.666666666666664,25.0,38.66666666666666,0.0,31.666666666666668,24.75,99.25,98.75,20.666666666666668,27.0,93.0,109.5,82.75,37.0,55.333333333333336,52.25,62.0,29.75,22.666666666666668,0.0,45.0,53.66666666666666,38.66666666666666,0.0
6,0.0,111.33333333333331,91.0,133.33333333333334,0.0,25.666666666666668,78.25,59.25,124.75,113.33333333333331,27.666666666666668,106.5,142.25,123.25,45.333333333333336,72.66666666666667,100.0,154.25,100.25,116.0,0.0,81.66666666666667,56.333333333333336,78.66666666666667,0.0
7,0.0,42.66666666666666,103.33333333333331,77.33333333333333,0.0,1.0,121.25,75.25,39.5,34.333333333333336,112.33333333333331,96.5,142.75,127.0,34.0,80.33333333333333,66.75,120.5,116.25,36.0,0.0,21.0,69.66666666666667,73.0,0.0
8,0.0,37.333333333333336,49.333333333333336,63.0,0.0,35.333333333333336,120.0,109.5,245.0,77.0,93.33333333333331,157.75,161.0,215.25,33.0,21.666666666666668,109.5,134.0,246.25,48.0,0.0,30.0,48.0,124.66666666666669,0.0
9,0.0,62.333333333333336,38.0,57.66666666666666,0.0,64.66666666666667,107.75,145.5,164.75,58.0,43.0,198.75,159.75,162.25,112.33333333333331,73.66666666666667,56.0,158.25,146.25,28.666666666666668,0.0,12.333333333333334,40.66666666666666,29.0,0.0
