Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,25.5,19.5,0.0,0.0,12.0,27.0,25.5,12.0,6.0,6.0,0.0,12.0,6.0,25.5,6.0,6.0,19.5,6.1,0.0,0.0,6.0,0.0,19.51,0.0
80.0,0.0,54.0,34.5,6.0,0.0,24.0,49.51,45.0,19.5,12.0,6.0,33.0,33.0,33.0,54.0,48.03,31.53,19.5,18.0,6.0,0.0,19.5,19.5,33.0,0.0
100.0,0.0,22.61,6.0,6.0,0.0,0.0,19.509999999999998,0.0,13.51,13.5,6.0,25.21,18.0,19.51,0.0,22.6,12.01,12.02,18.0,6.0,0.0,12.03,6.0,0.0,0.0
120.0,0.0,13.5,13.5,6.0,0.0,6.0,40.5,18.0,60.0,21.0,25.5,46.22,66.0,46.5,6.0,18.02,40.5,25.5,39.0,6.0,0.0,40.5,25.5,13.51,0.0
140.0,0.0,12.0,12.0,12.05,0.0,0.0,13.620000000000001,18.02,31.54,12.05,11.11,19.66,13.649999999999999,82.52,19.51,6.0,6.0,6.0,40.81,13.53,0.0,12.0,18.05,0.0,0.0
160.0,0.0,69.0,60.0,40.5,0.0,12.0,25.5,31.5,91.52000000000001,46.510000000000005,18.61,54.010000000000005,42.09,75.0,55.5,40.5,120.11000000000001,69.05,69.0,13.5,0.0,46.5,60.0,25.5,0.0
180.0,0.0,146.13,112.52000000000001,157.58,0.0,34.54,61.510000000000005,69.0,151.54,64.50999999999999,26.11,142.53,70.52,140.73,114.06,64.50999999999999,180.12999999999997,114.00999999999999,148.52999999999997,49.5,0.0,114.01,70.50999999999999,63.010000000000005,0.0
200.0,0.0,18.62,24.619999999999997,12.0,0.0,13.5,40.5,148.6,33.0,6.0,34.5,150.12,111.09,118.21000000000001,86.12,27.58,45.09,112.69,55.59,12.0,0.0,6.0,28.71,13.5,0.0
220.0,0.0,48.63,19.5,33.01,0.0,13.5,91.50999999999999,148.51,84.02000000000001,28.5,70.50999999999999,195.12,178.62,170.73000000000002,70.63,34.54,67.65,75.1,96.00999999999999,33.01,0.0,12.01,38.13,51.04,0.0
240.0,0.0,42.0,59.39,106.53,0.0,21.0,114.15,178.56,118.74000000000001,40.5,55.51,163.72,186.2,90.23,85.57,12.0,90.11,186.19,111.15,6.0,0.0,18.0,49.51,93.05000000000001,0.0
260.0,0.0,69.00999999999999,102.89999999999999,141.02,0.0,82.52,165.04,223.64,201.13,61.53,76.52,253.64000000000001,186.27,163.72,135.01,46.510000000000005,178.52999999999997,238.65999999999997,156.01,40.5,0.0,52.5,70.50999999999999,120.01,0.0
280.0,0.0,114.03,70.65,144.61,0.0,80.98,123.03,149.94,100.67,13.52,0.0,246.37000000000003,150.28,135.22,108.03,102.04,84.24000000000001,232.20999999999998,103.73,12.0,0.0,12.0,70.64,124.52000000000001,0.0
300.0,0.0,63.01,55.51,48.03,0.0,6.0,76.52000000000001,172.65999999999997,168.03,36.01,85.50999999999999,291.03,283.67,171.01,143.12,48.01,105.03999999999999,252.95,156.03,40.5,0.0,33.0,123.1,36.01,0.0
320.0,0.0,102.2,56.16,0.0,0.0,0.0,129.06,238.67,238.63,91.54,85.52000000000001,262.55,253.54000000000002,114.12,100.53999999999999,120.74,24.0,252.11,150.32,12.0,0.0,25.54,86.11,94.6,0.0
340.0,0.0,156.05,107.12,54.01,0.0,6.0,231.14,268.84000000000003,306.29,75.0,61.5,276.26,268.71,186.04,108.02,125.19000000000001,156.04999999999998,283.74999999999994,156.06,82.50999999999999,0.0,54.01,178.53000000000003,106.52000000000001,0.0
360.0,0.0,247.6,146.15,121.51,0.0,27.0,306.15,318.16,426.15000000000003,136.53,105.00999999999999,424.77,261.23,319.71000000000004,204.03,215.26,229.55,313.69,231.06,121.51,0.0,142.03,241.54,159.04,0.0
380.0,0.0,128.23000000000002,145.67000000000002,77.07,0.0,0.0,187.76999999999998,240.26,268.83,114.6,57.58,216.3,223.70999999999998,178.51999999999998,88.65,87.14,115.56,256.71,159.22,27.56,0.0,33.05,117.63,57.64,0.0
400.0,0.0,218.13,235.62,70.5,0.0,6.0,210.14,306.15999999999997,381.23,78.00999999999999,62.08,336.15999999999997,306.07000000000005,276.03999999999996,190.61,77.13,166.53,322.73,142.51,25.5,0.0,84.97999999999999,64.50999999999999,49.52,0.0
