Timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3A4,A3B3,A4A3,A4B4,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3B4,B3C3,B4A4,B4B3,B4C4,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3C4,C3D3,C4B4,C4C3,C4D4,D0C0,D0D1,D0E0,D1C1,D1D0,D1D2,D1E1,D2C2,D2D1,D2D3,D2E2,D3C3,D3D2,D3D4,D3E3,D4C4,D4D3,D4E4,E0D0,E0E1,E1D1,E1E0,E1E2,E2D2,E2E1,E2E3,E3D3,E3E2,E3E4,E4D4,E4E3
0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.00,0.0,0,0,0,0,0.0,0,0,19.509999999999998,0,0,0,0,0,0,0,0,0,12.0,0,0,19.5,0,0,0,6.0,0,0,0,6.0,6.0,6.0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,6.0,0,0,0,6.0,0,0,0,0,0,0,6.0,0,0,21.0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,12.04
80.00,12.0,6.0,0,0,0,19.5,0,0,19.5,0,0,0,6.03,0,0,6.0,0,0,33.0,0,0,34.5,0,0,0,12.0,0,0,0,6.0,6.0,6.0,13.51,21.0,0,0,13.5,0,0,0,13.53,0,0,6.0,0,0,6.0,6.0,0,0,6.0,0,0,0,6.0,0,0,0,6.0,0,0,13.5,0,0,27.0,0,0,19.5,19.5,0,0,6.0,0,0,6.0,0,0,0,6.0,33.0
100.00,0,0,0,0,0,22.6,0,0,0,0,13.5,0,0,0,0,0,0,6.0,0,6.0,6.01,0,0,0,6.0,0,13.51,0,0,0,0,0,0,22.61,6.0,0,0,0,0,0,0,6.0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,12.01,13.5,0.0,0,0,0,0,0.0,0,0,6.0,0,0,6.0,0,0,0,0
120.00,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,6.0,0,33.01,6.0,0,0,6.0,18.0,0,28.51,0,0,0,0,0,0,0,12.0,21.01,0,25.5,0,0,0,13.5,0,0,0,6.0,0,0,0,0,0,0,19.5,21.0,0,0,13.5,0,0,18.0,6.0,0,12.0,21.0,0,0,0,0,0,12.0,0,0,19.5,0,0,12.0,0,0,0,0
140.00,6.0,0,0,0.0,0,0,0,0,13.5,0,0.0,0,0,0,6.0,12.0,0,0,0,7.6,0,12.0,6.0,0,0,6.0,0,0,0,12.0,0,0,0,0,0,0,0,7.63,0,6.02,0,0,7.59,0,0,0,6.0,0,0,0,0,0,0.0,0,0.0,0,0,6.0,0,0,0,0,0,0,6.0,6.03,0,0,6.0,0.0,0,6.0,0,0,0,0,6.0,0,0.0,6.0
160.00,13.5,0,0,21.01,0,12.0,0,0,13.5,0,0,6.0,0,0,25.5,19.5,0,0,12.030000000000001,0,0,12.0,6.0,0,0,27.0,0,0,0,25.5,0,0,12.0,6.0,0,0,6.01,0,0,27.0,12.0,0,0,0.0,0,0,21.0,48.01,0,6.0,70.51,0,0,0,34.5,0,0,21.0,6.0,0,0,6.0,0,0,12.0,40.519999999999996,0,0,19.5,0,0,25.54,0,21.01,6.0,0,13.5,0,12.0,42.01
180.00,21.0,0,0,64.50999999999999,0,27.0,0,0,13.5,0,0,0,13.5,0,48.010000000000005,42.0,0,0,21.0,0,0,13.5,27.0,0.0,0,49.5,0,0.0,0,27.0,0,13.51,40.51,0,0,0,42.010000000000005,0.0,6.0,79.52,6.0,0,6.02,27.0,0,0,28.5,63.0,0,57.07,93.00999999999999,0,0,0,34.5,0,0,64.52,13.51,0,6.01,13.5,0,0,48.0,70.56,0,0,13.5,0,0,21.0,0.0,36.01,21.02,0,79.59,0,27.0,49.51
200.00,0,0,0,0,0,0,0,19.5,0,0,12.0,0,0,0,0,0,6.0,21.02,0,12.0,6.0,0,0,40.5,12.01,30.1,0,55.51,0,0.0,0,0,0,0,13.5,21.0,0,12.0,40.5,0,0,12.0,19.5,0,21.0,0,0,0,0,0,0,0,27.0,27.0,0,19.5,0,0,0,19.5,12.0,0,6.0,0,0,0,0,0,0,12.0,0,21.57,6.0,0,0.0,6.0,0,0,0,0
220.00,0,0,0,0,0,0,0,33.0,0,0,33.0,0,0,0,0,0,19.5,21.0,0,19.5,25.5,0,0,63.0,12.0,0,21.03,93.02,0,0,0,0,0,0,34.5,21.0,0,12.0,55.5,0,0,25.5,48.019999999999996,0,28.5,13.5,0,0,0,0,0,0,70.50999999999999,48.0,0,33.0,18.0,0,0,40.519999999999996,18.0,0,25.5,13.5,0,0,0,0,0,18.0,0,0,19.5,0,0,12.0,0,0,0,0
240.00,19.5,12.0,0,21.0,0,25.5,49.51,0,6.0,0,0,6.01,6.0,0,12.0,6.0,0,0,12.0,0.0,0,19.5,42.04,7.59,0,18.0,0,0,0,6.0,6.0,0,63.03,19.5,0,0,25.5,15.1,0.0,6.0,34.5,0,30.1,48.0,0,0,33.019999999999996,33.0,6.0,0,19.53,0,22.61,0,48.0,0,7.59,6.0,12.0,0,0,48.019999999999996,0,0,12.0,40.5,0,6.0,6.0,0,0,6.0,0,6.0,21.0,0,0,0,18.0,0
260.00,27.0,12.0,0,27.0,0,48.01,63.01,0,12.0,0,0,19.5,21.0,0,18.0,19.5,0,0,33.0,0,0,42.019999999999996,55.51,0,0,33.0,0,0,0,55.5,6.0,0,85.5,27.0,0,0,25.5,0,0,18.0,55.51,0,0,40.5,0,0,48.01,55.5,36.01,0,55.51,0,0,0,78.0,0,30.1,13.5,25.5,0,0,55.51,0,0,34.55,78.06,0,12.0,25.5,0,0,21.0,0,27.0,28.5,0,13.5,0,33.0,19.5
280.00,0,0,0,0,0,0.0,88.52,0,22.63,0,0,21.61,0,0,0,0,21.0,0,0,25.509999999999998,19.5,30.14,0,48.0,6.0,15.11,13.5,19.5,0,0,0,0,0.0,0.0,40.510000000000005,6.0,0,12.05,27.0,0,22.63,19.5,6.0,7.59,6.0,27.0,0,0,0,0,0.0,0,25.5,21.0,22.62,19.5,42.02,0,0,18.6,63.010000000000005,0.0,0,21.01,0.0,0,0,0,0,19.5,0,0.0,12.0,0,0.0,0,0,0,0,0
300.00,0,0,0,0,6.0,0,0,6.0,14.08,0,0,0,0,0,0,0,28.52,0,0,48.0,19.5,30.1,0,85.50999999999999,21.0,0,21.0,40.51,0,0,0,0,0,0,55.51,55.5,0,12.0,48.0,0,0,55.5,18.0,15.09,18.009999999999998,85.57,0,0,0,0,0,0,55.57,28.5,0,27.0,40.5,0,0,47.1,70.5,0,25.5,28.5,0,0,0,0,0,48.0,0,0,19.5,0,0.0,0,0,0,0,0
320.00,0,0,0,6.0,7.6,6.0,6.01,0,0,0,0,6.01,0,0,0.0,0,0.0,0,18.02,7.61,0,21.02,13.51,0.0,0,6.01,0.0,0.0,0,18.009999999999998,0,0,6.02,0,81.14,0,33.02,0,0.0,19.54,19.509999999999998,7.6,0.0,27.03,0,73.51,0.0,25.53,0,6.0,0.0,0,0.0,0.0,6.0,0,0.0,6.0,12.01,0,58.629999999999995,18.0,0,51.01,0,27.01,0,0,0,0.0,0,6.0,0,0,26.1,0,0,0,0.0,0
340.00,6.0,6.0,0,21.0,0.0,13.5,12.0,0,13.5,0,0,18.0,13.5,0,34.5,27.0,0,0,33.0,7.59,0,64.53,78.00999999999999,30.1,0,25.5,0,22.59,0,63.0,6.0,12.0,40.5,0,0,0,85.50999999999999,0,0,40.5,55.5,30.1,45.1,42.01,0,0,13.5,63.0,0,19.5,33.0,0,0,0,33.0,0,30.1,40.5,55.5,0,0.0,40.5,0,0,0.0,85.51,0,6.0,6.0,0,0,19.5,0,19.509999999999998,62.12,0,6.0,0,25.5,0
